Date,Value
1950-03-31,37613.0
1949-12-31,37280.0
1949-09-30,37666.0
1949-06-30,38028.0
1949-03-31,38569.0
1948-12-31,39296.0
1948-09-30,39420.0
1948-06-30,39046.0
1948-03-31,39013.0
1947-12-31,38908.0
1947-09-30,38440.0
1947-06-30,38102.0
1947-03-31,37965.0
1946-12-31,37646.0
1946-09-30,36891.0
1946-06-30,35606.0
1946-03-31,33985.0
1945-12-31,33071.0
1945-09-30,33859.0
1945-06-30,35124.0
1945-03-31,35629.0
1944-12-31,35474.0
1944-09-30,35606.0
1944-06-30,35872.0
1944-03-31,36362.0
1943-12-31,36540.0
1943-09-30,36386.0
1943-06-30,36384.0
1943-03-31,36169.0
1942-12-31,35683.0
1942-09-30,35148.0
1942-06-30,34285.0
1942-03-31,33435.0
1941-12-31,33083.0
1941-09-30,32685.0
1941-06-30,31458.0
1941-03-31,30304.0
1940-12-31,29314.0
1940-09-30,28083.0
1940-06-30,27672.0
1940-03-31,27564.0
1939-12-31,27361.0
1939-09-30,26658.0
1939-06-30,26295.0
1939-03-31,26104.0
